City,Bedroom,Region,Price,RateperSqft,CarpetArea,TransactionType
Mumbai,2.0,Mira Road East Mumbai,114.0,14766.84,772.0,New Property
Mumbai,4.0,Wadala Mumbai,659.0,37273.76,1768.0,New Property
Mumbai,4.0,Mulund West Mumbai,598.0,28022.49,2134.0,New Property
Mumbai,3.0,Kanjurmarg West Mumbai,320.0,28571.43,1120.0,New Property
Mumbai,3.0,Mulund West Mumbai,286.0,26854.46,1065.0,New Property
Mumbai,3.0,Wadala Mumbai,653.0,39456.19,1655.0,New Property
Mumbai,3.0,Mahalakshmi Mumbai,690.0,47260.27,1460.0,New Property
Mumbai,3.0,Dahisar East Mumbai,262.0,30859.84,849.0,New Property
Mumbai,3.0,Kandivali East Mumbai,320.0,26622.3,1202.0,New Property
Mumbai,2.0,Mulund West Mumbai,160.0,25236.59,634.0,New Property
Mumbai,3.0,Wadala Mumbai,620.0,44765.34,1385.0,New Property
Mumbai,4.0,Borivali East Mumbai,382.0,30414.01,1256.0,New Property
Mumbai,3.0,Mulund West Mumbai,280.0,30701.75,912.0,New Property
Mumbai,3.0,Borivali West Mumbai,302.0,30290.87,997.0,New Property
Mumbai,1.0,Dahisar East Mumbai,245.23,58949.08,416.0,New Property
Mumbai,3.0,Dadar West Mumbai,848.0,76672.69,1106.0,New Property
Mumbai,3.0,Mulund West Mumbai,283.0,29235.54,968.0,New Property
Mumbai,4.0,Mahalakshmi Mumbai,1694.0,74988.93,2259.0,New Property
Mumbai,2.0,Nahur East Mumbai,203.0,23468.21,865.0,New Property
Mumbai,3.0,Mulund West Mumbai,243.0,26644.74,912.0,New Property
Mumbai,3.0,Mulund West Mumbai,225.0,27272.73,825.0,New Property
Mumbai,2.0,Borivali East Mumbai,174.0,24857.14,700.0,New Property
Mumbai,4.0,Marol Mumbai,315.0,26250.0,1200.0,New Property
Mumbai,3.0,Prabhadevi Mumbai,895.0,66890.88,1338.0,New Property
Mumbai,3.0,Prabhadevi Mumbai,899.0,63804.12,1409.0,New Property
Mumbai,2.0,Mulund West Mumbai,210.0,29288.7,717.0,New Property
Mumbai,2.0,Kanjurmarg West Mumbai,177.0,28548.39,620.0,New Property
Mumbai,2.0,Jogeshwari Vikhroli Link Road Mumbai,215.0,30324.4,709.0,New Property
Mumbai,3.0,Wadala Mumbai,425.0,36262.8,1172.0,New Property
Mumbai,4.0,Mulund West Mumbai,327.0,24772.73,1320.0,New Property
